Lot Frontage	Lot Area	Neighborhood	Overall Qual	Overall Cond	Year Built	Total Bsmt SF	1st Flr SF	Gr Liv Area	Bedroom AbvGr	TotRms AbvGrd	Garage Area	SalePrice
141	31770	NAmes	6	5	1960	1080	1656	1656	3	7	528	215000
80	11622	NAmes	5	6	1961	882	896	896	2	5	730	105000
81	14267	NAmes	6	6	1958	1329	1329	1329	3	6	312	172000
93	11160	NAmes	7	5	1968	2110	2110	2110	3	8	522	244000
74	13830	Gilbert	5	5	1997	928	928	1629	3	6	482	189900
78	9978	Gilbert	6	6	1998	926	926	1604	3	7	470	195500
41	4920	StoneBr	8	5	2001	1338	1338	1338	2	6	582	213500
43	5005	StoneBr	8	5	1992	1280	1280	1280	2	5	506	191500
39	5389	StoneBr	8	5	1995	1595	1616	1616	2	5	608	236500
60	7500	Gilbert	7	5	1999	994	1028	1804	3	7	442	189000
75	10000	Gilbert	6	5	1993	763	763	1655	3	7	440	175900
	7980	Gilbert	6	7	1992	1168	1187	1187	3	6	420	185000
63	8402	Gilbert	6	5	1998	789	789	1465	3	7	393	180400
85	10176	Gilbert	7	5	1990	1300	1341	1341	2	5	506	171500
	6820	StoneBr	8	5	1985	1488	1502	1502	1	4	528	212000
47	53504	StoneBr	8	5	2003	1650	1690	3279	4	12	841	538000
152	12134	Gilbert	8	7	1988	559	1080	1752	4	8	492	164000
88	11394	StoneBr	9	2	2010	1856	1856	1856	1	8	834	394432
140	19138	Gilbert	4	5	1951	864	864	864	2	4	400	141000
85	13175	NWAmes	6	6	1978	1542	2073	2073	3	7	500	210000
105	11751	NWAmes	6	6	1977	1844	1844	1844	3	7	546	190000
85	10625	NWAmes	7	6	1974	1053	1173	1173	3	6	528	170000
	7500	Somerst	7	5	2000	814	814	1674	3	7	663	216000
	11241	NAmes	6	7	1970	1004	1004	1004	2	5	480	149000
	12537	NAmes	5	6	1971	1078	1078	1078	3	6	500	149900
65	8450	NAmes	5	6	1968	1056	1056	1056	3	6	304	142000
70	8400	NAmes	4	5	1970	882	882	882	2	4	525	126000
70	10500	NAmes	4	5	1971	864	864	864	3	5	0	115000
26	5858	NAmes	7	5	1999	1405	1337	1337	2	5	511	184000
21	1680	BrDale	6	5	1971	483	483	987	2	5	264	96000
21	1680	BrDale	5	5	1971	525	525	1092	3	6	320	105500
21	1680	BrDale	6	5	1971	525	525	1092	3	6	264	88000
53	4043	NPkVill	6	5	1977	1069	1069	1069	2	4	440	127500
24	2280	NPkVill	6	6	1975	855	855	1456	3	6	440	149900
24	2280	NPkVill	7	6	1975	836	836	836	2	4	308	120000
24	2280	NPkVill	6	5	1978	855	855	1456	3	7	440	146000
102	12858	NridgHt	9	5	2009	1590	1627	2334	3	10	751	376162
98	11478	NridgHt	8	5	2007	1704	1704	1704	3	7	772	306000
83	10159	NridgHt	9	5	2009	1930	1940	1940	3	8	606	395192
94	12883	NridgHt	8	5	2009	1544	1544	1544	3	7	868	290941
95	12182	NridgHt	7	5	2005	1541	1541	1541	3	7	532	220000
90	11520	NridgHt	9	5	2005	1698	1698	1698	3	7	730	275000
79	14122	NridgHt	8	5	2005	1822	1822	1822	3	8	678	259000
70	10171	NridgHt	7	5	2004	1517	1535	1535	3	7	532	214000
100	12919	NridgHt	9	5	2009	2330	2364	2364	2	11	820	611657
44	6371	NridgHt	7	5	2009	1358	1358	1358	2	6	484	224000
110	14300	NridgHt	9	5	2003	2846	2696	2696	3	10	958	500000
105	13650	NridgHt	8	5	2002	1671	1687	2250	3	7	756	320000
61	7658	NridgHt	9	5	2005	1752	1752	1752	2	6	576	319900
41	7132	NridgHt	8	5	2006	1370	1370	1370	2	6	484	205000
36	2628	NridgHt	7	5	2003	764	764	1626	2	6	474	175500
100	18494	Gilbert	6	5	2005	1324	1324	1324	3	6	430	199500
43	3203	Blmngtn	7	5	2006	1145	1145	1145	2	6	437	160000
43	3182	Blmngtn	8	5	2004	1256	1269	1269	2	6	430	192000
67	13300	Gilbert	7	5	2004	384	744	1374	3	7	400	184500
	7851	Gilbert	6	5	2002	860	860	1960	4	8	440	216500
63	8577	Gilbert	7	5	2004	847	847	1733	3	7	433	185088
	7750	Gilbert	7	5	2000	384	774	1430	3	7	400	180000
	9505	Gilbert	7	5	2001	884	884	2035	3	8	434	222500
108	14774	NoRidge	9	5	1999	1393	1422	2599	4	10	779	333168
60	17433	NoRidge	8	5	1998	1629	1645	2475	4	7	962	355000
59	10593	NoRidge	7	5	1996	1720	1720	1720	3	7	527	260400
98	12256	NoRidge	8	5	1994	1463	1500	2622	3	9	712	325000
92	11764	NoRidge	8	7	1999	1152	1164	2270	4	9	671	290000
58	16770	NoRidge	7	5	1998	1195	1195	1839	4	7	486	221000
56	14720	NoRidge	8	5	1995	2033	2053	3238	4	9	666	410000
73	8987	Somerst	8	5	2005	1595	1595	1595	2	6	880	221500
92	9215	Somerst	7	5	2009	1218	1218	1218	2	4	676	204500
72	8640	Somerst	7	5	2009	756	764	1547	3	7	614	215200
75	9000	Somerst	8	5	2008	1566	1566	1566	3	7	750	262500
100	12552	Somerst	7	5	2004	991	991	1947	3	8	678	254900
84	10440	Somerst	6	5	2005	1468	1468	1468	2	6	528	271500
76	10142	SawyerW	7	5	2004	956	956	2084	4	8	618	233000
70	11920	SawyerW	7	5	2004	831	831	1659	3	8	484	181000
	8880	SawyerW	7	5	1994	948	1222	2110	3	8	463	205000
50	8012	SawyerW	6	5	1980	923	923	923	2	5	264	143000
70	11218	SawyerW	6	5	1992	1055	1055	1845	3	8	462	189000
55	7892	SawyerW	6	5	1979	918	918	918	2	5	264	99500
50	7175	SawyerW	6	5	1984	744	752	752	2	4	264	125000
	9453	SawyerW	7	7	1993	996	1014	1744	3	7	457	194500
81	9672	SawyerW	6	5	1984	1040	1097	1097	3	6	480	152000
70	8400	SawyerW	6	6	1980	650	888	1564	3	7	476	171000
70	9800	SawyerW	5	5	1920	816	1012	1012	2	5	429	67500
68	8930	Sawyer	6	5	1978	0	1318	1902	4	8	539	112000
88	11782	Sawyer	5	7	1961	1109	1155	1155	3	6	576	148000
65	8450	Sawyer	5	8	1965	894	894	894	3	5	336	138500
	9819	Sawyer	5	5	1967	882	900	900	3	5	280	122000
75	7500	Sawyer	5	5	1963	1040	1040	1040	3	5	308	133000
	6897	Sawyer	5	8	1962	1040	1040	1040	3	6	260	127000
39	15410	Sawyer	6	6	1974	1208	1494	1494	3	7	461	169000
107	10186	NoRidge	7	5	1992	750	1061	1923	3	8	564	190000
85	13143	NoRidge	8	5	1993	1231	1251	2349	4	9	762	362500
88	11134	NoRidge	8	5	1992	1390	1402	2225	4	7	713	285000
25	4835	Somerst	7	5	2004	1488	1488	1488	2	6	506	260000
39	3515	Somerst	7	5	2004	840	840	1680	2	3	588	190000
30	3215	Somerst	7	5	2004	600	600	1200	2	4	480	155000
30	3182	Somerst	7	5	2004	600	600	1200	2	4	480	151000
24	2544	Somerst	7	5	2004	600	600	1200	2	4	480	149500
24	2544	Somerst	6	5	2005	600	600	1236	2	4	480	152000
	4403	Somerst	7	5	2009	1470	1478	1478	2	7	484	222000
	2117	Somerst	6	5	2000	756	769	1573	3	5	440	177500
	2980	Somerst	6	5	2000	756	756	1512	2	5	440	177000
24	2572	Somerst	7	5	1999	696	696	1416	3	6	484	155000
	2403	Somerst	7	5	2003	530	530	1080	2	4	496	147110
57	12853	Somerst	8	5	2010	1642	1418	1418	1	6	852	267916
68	7379	Somerst	8	5	2000	975	975	1848	3	7	592	254000
30	4420	Greens	8	5	1980	728	788	788	1	3	484	155000
40	3880	Greens	8	6	1978	1226	1226	1226	1	4	484	206000
	13517	Sawyer	6	8	1976	725	725	1479	3	6	475	130500
80	8000	Somerst	7	5	2002	1492	1492	1492	3	6	596	230000
	10456	NWAmes	6	6	1967	1829	1829	1829	4	8	535	218500
80	10791	NWAmes	6	5	1993	1280	1280	2495	4	9	660	243500
	10603	NWAmes	6	7	1977	1610	1610	1610	3	6	480	205000
	18837	NWAmes	6	5	1978	1224	1287	1891	3	7	678	212500
80	10421	NWAmes	7	5	1988	980	980	1714	3	7	496	196500
78	9360	NWAmes	6	7	1972	1161	1381	1381	3	5	676	197500
80	9600	NWAmes	6	6	1971	715	930	1645	4	7	441	171000
80	9600	NAmes	5	5	1966	1232	1232	1232	3	6	490	142250
	9790	NWAmes	6	5	1963	1328	1328	1328	3	6	528	143000
77	9320	NAmes	4	5	1959	950	1225	1225	3	6	0	128950
90	9900	NAmes	5	5	1966	1209	1209	1209	3	6	504	159000
88	9680	NAmes	5	6	1967	1510	1510	1510	3	6	517	178900
	10600	NAmes	6	5	1964	533	1131	1775	3	8	480	136300
	14112	NAmes	5	7	1964	1152	1152	1152	3	6	484	180500
80	8800	NAmes	6	7	1963	936	1054	1054	3	6	480	137500
98	13260	NAmes	5	6	1962	1728	1728	1728	6	10	0	84900
68	9717	NAmes	5	6	1950	1078	1078	1078	2	5	240	142125
68	9724	NAmes	5	7	1952	1140	1929	2461	3	7	400	197600
120	17360	NAmes	6	6	1949	782	1019	1556	3	6	470	172500
50	7207	BrkSide	5	7	1958	858	858	858	2	4	0	116500
55	5350	BrkSide	3	2	1940	728	1306	1306	3	6	0	76500
80	9920	NAmes	5	5	1954	1056	1063	1063	3	6	280	128000
80	9600	NAmes	6	6	1955	1156	1520	1520	3	7	364	153000
78	7800	NAmes	5	6	1954	1268	1268	1268	2	7	244	132000
75	11380	NAmes	6	8	1966	1080	1128	1128	2	5	315	178000
80	11600	NAmes	5	5	1960	1105	1105	2274	5	12	480	154300
	19900	NAmes	7	5	1970	1947	2207	2207	3	7	576	180000
137	16492	NAmes	6	6	1966	1517	1888	1888	2	6	578	190000
70	8267	NAmes	5	5	1958	1604	1604	1604	4	8	576	135000
70	8197	NAmes	7	5	2003	1480	1480	1480	3	7	620	214000
	8050	NAmes	5	5	1959	1143	1143	1143	3	6	308	136000
70	10552	NAmes	5	5	1959	1398	1700	1700	4	6	447	165500
70	8400	NAmes	5	6	1957	1314	1314	1314	3	5	294	145000
73	8760	NAmes	6	6	1959	1194	1194	1194	3	6	312	148000
	12160	NAmes	5	5	1959	1188	1188	1188	3	6	531	142000
73	9300	NAmes	5	5	1960	1268	1264	1264	3	6	461	167500
87	10725	NAmes	5	5	1959	1206	1206	1206	3	6	312	108538
80	10032	NAmes	6	5	1959	1244	1580	1580	3	6	440	159500
60	8382	NAmes	4	5	1956	832	832	1337	3	5	263	108000
60	10950	NAmes	5	7	1952	864	1064	1064	2	4	318	135000
119	10895	NAmes	5	6	1955	972	972	972	3	5	305	122500
70	13587	NAmes	5	5	1958	988	988	988	2	5	264	119000
68	7922	NAmes	5	7	1953	1057	1057	1057	3	5	246	109000
65	7898	NAmes	4	7	1920	576	985	985	2	4	676	105000
60	7200	NAmes	5	7	1955	0	827	827	2	5	392	107500
85	10200	NAmes	5	7	1954	1086	1086	1086	3	6	490	144900
74	5868	NAmes	5	7	1956	936	936	936	2	4	308	129000
78	17503	NAmes	6	5	1948	912	912	1458	3	6	330	97500
64	6979	OldTown	6	5	1980	1056	1056	1056	0	4	576	144000
	9830	NAmes	5	7	1959	1063	1287	1287	3	7	576	162000
96	11275	NAmes	7	7	1967	710	1898	2978	5	11	564	242000
60	8064	NAmes	6	8	1948	816	816	1224	3	5	280	132000
75	7500	NAmes	5	7	1959	1246	1246	1246	3	6	305	154000
71	8520	NAmes	5	4	1952	910	910	1385	4	6	720	166000
60	7200	NAmes	5	7	1951	900	900	900	3	5	576	134800
87	10000	NAmes	6	6	1962	1116	1116	1116	3	5	440	160000
81	7635	NAmes	5	6	1960	1175	1175	1175	3	6	484	148000
80	9760	NAmes	6	7	1963	1395	1395	1395	2	7	440	192000
70	7700	NAmes	6	5	1966	756	1051	1839	4	7	442	155000
60	4800	OldTown	4	5	1900	709	1157	1844	3	9	240	80400
55	8800	OldTown	4	7	1910	576	792	1140	3	7	0	96500
