year,age,maritalstatus,education,region,jobclass,health,health_ins,wage
2006,18,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,75.04315402
2004,24,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,70.47601965
2003,45,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,130.9821774
2003,43,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,154.685293
2005,50,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,75.04315402
2008,54,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1157438
2009,44,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,169.528538
2008,30,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,111.7208494
2006,41,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2004,52,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,128.6804882
2007,45,4. Divorced,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,117.1468169
2007,34,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.28325328
2005,35,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,89.49247952
2003,39,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.7053751
2009,54,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
2009,51,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,90.48191336
2003,37,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,82.6796373
2006,50,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,212.8423523
2007,56,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,129.156693
2003,37,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,98.59934386
2003,38,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,200.5432623
2005,40,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,50.40666086
2009,75,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,85.38394038
2007,40,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,160.6424754
2006,38,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,94.07271475
2005,49,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,277.6014175
2006,43,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,84.04595765
2004,34,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,65.11085372
2008,57,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,116.2653241
2003,18,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,70.47601965
2004,55,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,195.676308
2005,51,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,101.4020523
2008,33,1. Never Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.28325328
2005,34,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,111.7208494
2006,36,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,89.88004678
2003,56,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,87.98103279
2006,70,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,87.98103279
2004,25,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,103.9024706
2006,32,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,105.9278108
2003,27,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,66.22940829
2004,28,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,34.60741773
2007,27,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2004,43,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,45.28216999
2005,50,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,73.77574327
2004,39,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,81.28325328
2008,52,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,154.685293
2009,35,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,267.9010869
2007,57,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,176.9896505
2006,25,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,66.22940829
2006,33,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,116.2653241
2005,57,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,200.5432623
2008,71,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,101.8243521
2004,43,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,272.2947832
2003,23,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,35.03342132
2009,30,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2004,22,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.28325328
2006,59,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,200.5432623
2003,28,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2004,61,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2003,34,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,111.7208494
2005,43,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,152.838801
2006,54,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,117.1468169
2005,69,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,77.7376033
2004,41,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,87.98103279
2003,48,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,125.5254984
2003,49,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.336104
2009,42,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,158.2946214
2003,37,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,200.5432623
